1658,Rossinière,Xavier GRANDJEAN,"Riviera, Chablais et Pays-d'Enhaut"
1659,Rougemont,Xavier GRANDJEAN,"Riviera, Chablais et Pays-d'Enhaut"
1660,Château-d'Oex,Xavier GRANDJEAN,"Riviera, Chablais et Pays-d'Enhaut"
1800,Vevey,Xavier GRANDJEAN,"Riviera, Chablais et Pays-d'Enhaut"
1802,Corseaux,Xavier GRANDJEAN,"Riviera, Chablais et Pays-d'Enhaut"
1803,Chardonne,Xavier GRANDJEAN,"Riviera, Chablais et Pays-d'Enhaut"
1804,Corsier-sur-Vevey,Xavier GRANDJEAN,"Riviera, Chablais et Pays-d'Enhaut"
1805,Jongny,Xavier GRANDJEAN,"Riviera, Chablais et Pays-d'Enhaut"
1806,St-Légier-La Chiésaz,Xavier GRANDJEAN,"Riviera, Chablais et Pays-d'Enhaut"
1807,Blonay,Xavier GRANDJEAN,"Riviera, Chablais et Pays-d'Enhaut"
1814,La Tour-de-Peilz,Xavier GRANDJEAN,"Riviera, Chablais et Pays-d'Enhaut"
1820,Montreux,Xavier GRANDJEAN,"Riviera, Chablais et Pays-d'Enhaut"
1820,Veytaux,Xavier GRANDJEAN,"Riviera, Chablais et Pays-d'Enhaut"
1844,Villeneuve,Xavier GRANDJEAN,"Riviera, Chablais et Pays-d'Enhaut"
1845,Noville,Xavier GRANDJEAN,"Riviera, Chablais et Pays-d'Enhaut"
1045,Ogens,Marc WERTH,Nord vaudois et Broye payernoise
1009,Pully,Antonio DA FONTE,Lavaux et Moudon
1070,Puidoux,Antonio DA FONTE,Lavaux et Moudon
1071,Chexbres,Antonio DA FONTE,Lavaux et Moudon
1047,Oppens,Marc WERTH,Nord vaudois et Broye payernoise
1071,Rivaz,Antonio DA FONTE,Lavaux et Moudon
1071,St-Saphorin (Lavaux),Antonio DA FONTE,Lavaux et Moudon
1063,Boulens,Marc WERTH,Nord vaudois et Broye payernoise
1000,Lausanne 25,Pierre-Alain PELLEGRI,Centre
1321,Arnex-sur-Orbe,Marc WERTH,Nord vaudois et Broye payernoise
1322,Croy,Marc WERTH,Nord vaudois et Broye payernoise
1323,Romainmôtier-Envy,Marc WERTH,Nord vaudois et Broye payernoise
1324,Premier,Marc WERTH,Nord vaudois et Broye payernoise
1325,Vaulion,Marc WERTH,Nord vaudois et Broye payernoise
1326,Juriens,Marc WERTH,Nord vaudois et Broye payernoise
1329,Bretonnières,Marc WERTH,Nord vaudois et Broye payernoise
1337,Vallorbe,Marc WERTH,Nord vaudois et Broye payernoise
1338,Ballaigues,Marc WERTH,Nord vaudois et Broye payernoise
1000,Lausanne 26,Pierre-Alain PELLEGRI,Centre
1350,Orbe,Marc WERTH,Nord vaudois et Broye payernoise
1352,Agiez,Marc WERTH,Nord vaudois et Broye payernoise
1353,Bofflens,Marc WERTH,Nord vaudois et Broye payernoise
1072,Forel (Lavaux),Antonio DA FONTE,Lavaux et Moudon
